เลขเอกสาร,ชื่อกฎหมาย
17074280,ระเบียบคณะกรรมการการเลือกตั้งว่าด้วยการช่วยเหลือการปฏิบัติงานและการสังเกตการณ์ในการเลือกตั้ง พ.ศ. 2562
17074281,ระเบียบคณะกรรมการการเลือกตั้งว่าด้วยการเบิกจ่ายค่าใช้จ่ายในการบริหารงานของสำนักงาน พ.ศ. 2562
17074282,ระเบียบคณะกรรมการการเลือกตั้งว่าด้วยการตรวจสอบภายในสำนักงานคณะกรรมการการเลือกตั้ง พ.ศ. 2562
17074283,ระเบียบคณะกรรมการการเลือกตั้งว่าด้วยการเลือกตั้งสมาชิกสภาผู้แทนราษฎร (ฉบับที่ 2) พ.ศ. 2562
17074284,ประกาศคณะกรรมการการเลือกตั้ง เรื่อง การแต่งตั้งบุคคลเข้าไปในที่เลือกตั้งหรือที่เลือกตั้งกลาง พ.ศ. 2562
17074285,ประกาศคณะกรรมการบริหารศาลยุติธรรม เรื่อง เปลี่ยนแปลงสถานที่ตั้งของศาลจังหวัดอ่างทอง
17074415,กฎกระทรวงการดำเนินการเกี่ยวกับวัสดุกัมมันตรังสีที่ตกค้างอยู่ในหลุมสำรวจปิโตรเลียม พ.ศ. 2562
17074416,ระเบียบคณะกรรมการการเลือกตั้งว่าด้วยการจัดยานพาหนะเพื่ออำนวยความสะดวกแก่ผู้มีสิทธิเลือกตั้งของหน่วยงานของรัฐ พ.ศ. 2562
17074417,ระเบียบคณะกรรมการการเลือกตั้งว่าด้วยค่าใช้จ่ายในการตรวจสอบบัญชีของพรรคการเมืองอย่างเร่งด่วนในช่วงเวลาที่มีการเลือกตั้ง พ.ศ. 2562
17074418,ระเบียบคณะกรรมการการเลือกตั้งว่าด้วยลักษณะต้องห้ามในการหาเสียงเลือกตั้งสมาชิกสภาผู้แทนราษฎร ณ ที่เลือกตั้งกลางในวันออกเสียงลงคะแนนก่อนวันเลือกตั้ง พ.ศ. 2562
17074438,ระเบียบของที่ประชุมใหญ่ตุลาการในศาลปกครองสูงสุด ว่าด้วยวิธีพิจารณาคดีปกครอง (ฉบับที่ 8) พ.ศ. 2562
17074439,ประกาศ ก.ศป. เรื่อง หลักเกณฑ์และวิธีการเลือก การนับคะแนน และการประกาศผลการเลือกกรรมการบริหารศาลปกครองผู้ทรงคุณวุฒิที่เป็นข้าราชการฝ่ายศาลปกครอง
17074440,ประกาศ ก.ศป. เรื่อง หลักเกณฑ์และวิธีการเลือก การนับคะแนน และการประกาศผลการเลือกกรรมการข้าราชการฝ่ายศาลปกครองผู้ทรงคุณวุฒิที่เป็นข้าราชการฝ่ายศาลปกครอง
17074758,พระราชบัญญัติสำนักงานศาลรัฐธรรมนูญ (ฉบับที่ 2) พ.ศ. 2562
17074759,พระราชบัญญัติระเบียบบริหารราชการศาลยุติธรรม (ฉบับที่ 4) พ.ศ. 2562
17074760,พระราชบัญญัติจัดตั้งศาลแพ่งตลิ่งชัน ศาลแพ่งพระโขนง ศาลแพ่งมีนบุรี ศาลอาญาตลิ่งชัน ศาลอาญาพระโขนง และศาลอาญามีนบุรี พ.ศ. 2562
17074761,พระราชบัญญัติแก้ไขเพิ่มเติมพระธรรมนูญศาลยุติธรรม (ฉบับที่ 6) พ.ศ. 2562
17074762,พระราชบัญญัติแก้ไขเพิ่มเติมประมวลกฎหมายวิธีพิจารณาความแพ่ง (ฉบับที่ 31) พ.ศ. 2562
17074763,พระราชบัญญัติแก้ไขเพิ่มเติมประมวลกฎหมายวิธีพิจารณาความอาญา (ฉบับที่ 34) พ.ศ. 2562
17074764,พระราชบัญญัติระเบียบข้าราชการทหาร (ฉบับที่ 12) พ.ศ. 2562
17074765,พระราชบัญญัติแก้ไขเพิ่มเติมประมวลรัษฎากร (ฉบับที่ 48) พ.ศ. 2562
17074766,พระราชบัญญัติสหกรณ์ (ฉบับที่ 3) พ.ศ. 2562
17074767,พระราชบัญญัติว่าด้วยการจำหน่ายที่ดินซึ่งเป็นกรรมสิทธิ์ของมหาวิทยาลัยจุฬาลงกรณราชวิทยาลัย ในท้องที่ตำบลคลองประเวศ อำเภอบ้านโพธิ์ จังหวัดฉะเชิงเทรา พ.ศ. 2562
17074783,ระเบียบคณะกรรมการบริหารศาลยุติธรรม ว่าด้วยการจ่ายเงินรางวัลและค่าใช้จ่ายแก่ทนายความที่ศาลตั้งให้จำเลยในการไต่สวนมูลฟ้อง ตามประมวลกฎหมายวิธีพิจารณาความอาญา มาตรา 165/1 พ.ศ. 2562
17074784,ระเบียบคณะกรรมการสิทธิมนุษยชนแห่งชาติว่าด้วยการเบิกจ่ายค่าใช้จ่ายในการบริหารงานของสำนักงานคณะกรรมการสิทธิมนุษยชนแห่งชาติ พ.ศ. 2562
17074785,ระเบียบ ก.บ.ศป. ว่าด้วยการจ่ายเงินรางวัลเจ้าหน้าที่ พ.ศ. 2562
17074786,ระเบียบคณะกรรมการการเลือกตั้งว่าด้วยการเลือกตั้งสมาชิกสภาผู้แทนราษฎรนอกราชอาณาจักร (ฉบับที่ 2) พ.ศ. 2562
17074787,ประกาศคณะกรรมการการเลือกตั้ง เรื่อง จำนวนผู้ลงทะเบียนขอใช้สิทธิออกเสียงลงคะแนนสมาชิกสภาผู้แทนราษฎรนอกราชอาณาจักร
17075037,กฎกระทรวงว่าด้วยการขอขึ้นทะเบียนและรับใบอนุญาต การออกใบอนุญาต การขอรับใบแทนใบอนุญาต และการออกใบแทนใบอนุญาตในการประกอบโรคศิลปะ (ฉบับที่ 2) พ.ศ. 2562
17075038,ระเบียบคณะกรรมการการเลือกตั้งว่าด้วยค่าใช้จ่ายในการแสวงหาข้อมูลข่าวสาร และการให้รางวัลแก่ผู้ชี้เบาะแสการกระทำการอันไม่สุจริตหรือเที่ยงธรรมในการเลือกตั้ง พ.ศ. 2562
17075039,คำวินิจฉัยของศาลรัฐธรรมนูญ คำวินิจฉัยที่ 2/2562 เรื่อง ประกาศคณะปฏิรูปการปกครองในระบอบประชาธิปไตย อันมีพระมหากษัตริย์ทรงเป็นประมุข ฉบับที่ 25 เรื่อง การดำเนินการเกี่ยวกับการยุติธรรมทางอาญา ลงวันที่ 29 กันยายน พุทธศักราช 2549 เฉพาะในส่วนที่กำหนดให้เป็นความผิดและโทษทางอาญา ขัดหรือแย้งต่อรัฐธรรมนูญ มาตรา 3 มาตรา 26 มาตรา 28 วรรคหนึ่ง และมาตรา 29 วรรคสี่ หรือไม่
17075060,พระราชบัญญัติยกเว้นเบี้ยปรับ เงินเพิ่มภาษีอากร และความรับผิดทางอาญา เพื่อสนับสนุนการปฏิบัติการเกี่ยวกับภาษีอากรตามประมวลรัษฎากร พ.ศ. 2562
17075558,กฎกระทรวงแบ่งส่วนราชการสำนักงานสภาพัฒนาการเศรษฐกิจและสังคมแห่งชาติ สำนักนายกรัฐมนตรี พ.ศ. 2562
17075559,กฎกระทรวงการขออนุญาตและการออกใบอนุญาตนำเข้าอาหารสัตว์ควบคุมเฉพาะ พ.ศ. 2562
17075560,ระเบียบศาลรัฐธรรมนูญว่าด้วยการเงิน (ฉบับที่ 3) พ.ศ. 2562
17075561,ระเบียบคณะกรรมการสิทธิมนุษยชนแห่งชาติว่าด้วยการประกันภัยสำหรับผู้ปฏิบัติงานในพื้นที่เสี่ยงภัย พ.ศ. 2562
17075562,ระเบียบคณะกรรมการการเลือกตั้งว่าด้วยเครื่องแบบประธานกรรมการ และกรรมการการเลือกตั้ง พ.ศ. 2562
17075563,ระเบียบคณะกรรมการการเลือกตั้งว่าด้วยเครื่องแบบพิเศษสำหรับกรรมการ เลขาธิการ พนักงานและลูกจ้างของสำนักงานคณะกรรมการการเลือกตั้ง (ฉบับที่ 2) พ.ศ. 2562
17075565,ประกาศ ก.ศป. เรื่อง วินัยแห่งการเป็นข้าราชการตุลาการศาลปกครอง
17075566,ประกาศ ก.ศป. เรื่อง การกำหนดตำแหน่งอื่นในหน่วยงานของรัฐที่เทียบเท่าอธิบดีและที่เทียบเท่าข้าราชการพลเรือนระดับ 8 (ฉบับที่ 4)
17075626,พระราชกฤษฎีกาเปลี่ยนแปลงเขตอำนาจศาลแขวงธนบุรี กับกำหนดเขตอำนาจและวันเปิดทำการของศาลแขวงบางบอน ในกรุงเทพมหานคร พ.ศ. 2562
17075627,พระราชกฤษฎีกากำหนดจำนวน เขตอำนาจ และวันเปิดทำการของศาลแขวง ในจังหวัดเชียงราย พ.ศ. 2562
17075628,พระราชกฤษฎีกาถอนสภาพที่ดินอันเป็นสาธารณสมบัติของแผ่นดินสำหรับพลเมืองใช้ร่วมกัน ในท้องที่ตำบลไสหร้า อำเภอฉวาง จังหวัดนครศรีธรรมราช พ.ศ. 2562
17075629,พระราชกฤษฎีกาถอนสภาพที่ดินอันเป็นสาธารณสมบัติของแผ่นดินสำหรับพลเมืองใช้ร่วมกัน ในท้องที่ตำบลสามพร้าว อำเภอเมืองอุดรธานี จังหวัดอุดรธานี พ.ศ. 2562
17075630,พระราชกฤษฎีกาถอนสภาพที่ดินอันเป็นสาธารณสมบัติของแผ่นดินสำหรับพลเมืองใช้ร่วมกัน ในท้องที่ตำบลบ้านดู่ อำเภอเมืองเชียงราย จังหวัดเชียงราย พ.ศ. 2562
17075917,กฎกระทรวงยกเลิกการกำหนดอัตราค่าธรรมเนียมคำขออนุญาตเพื่อกลับเข้ามาในราชอาณาจักรอีก ตามมาตรา 39 วรรคสอง สำหรับคนต่างด้าวสัญชาติกัมพูชา ลาว และเมียนมา ซึ่งเข้ามาเพื่อทำงานในราชอาณาจักรตามบันทึกความเข้าใจว่าด้วยความร่วมมือด้านการจ้างแรงงาน หรือได้รับอนุญาตทำงานในเรือประมงและมีหนังสือคนประจำเรือตามกฎหมายว่าด้วยการประมง หรือได้รับอนุญาต ให้เข้ามาอยู่ในราชอาณาจักรเป็นกรณีพิเศษ ชนิดใช้ได้ครั้งเดียว เป็นการชั่วคราว พ.ศ. 2562
17075918,กฎกระทรวง ฉบับที่ 58 (พ.ศ. 2562) ออกตามความในพระราชบัญญัติให้ใช้ประมวลกฎหมายที่ดิน พ.ศ. 2497
17075919,กฎกระทรวงแบ่งส่วนราชการกรมบัญชีกลาง กระทรวงการคลัง พ.ศ. 2562
17075920,กฎกระทรวงกำหนดให้ทางน้ำชลประทานแม่น้ำป่าสัก เป็นทางน้ำชลประทานที่จะเรียกเก็บค่าชลประทาน พ.ศ. 2562
17075921,ระเบียบคณะกรรมการตรวจเงินแผ่นดินว่าด้วยการเบิกจ่ายเงินค่าตอบแทนนอกเหนือจากเงินเดือนของข้าราชการสำนักงานการตรวจเงินแผ่นดิน พ.ศ. 2562
17075922,ระเบียบคณะกรรมการตรวจเงินแผ่นดินว่าด้วยการบริหารงานบุคคล (ฉบับที่ 2) พ.ศ. 2562
17075923,ประกาศคณะกรรมการตรวจเงินแผ่นดิน เรื่อง การให้ข้าราชการสำนักงานการตรวจเงินแผ่นดินได้รับเงินประจำตำแหน่ง พ.ศ. 2562
17075924,คำวินิจฉัยของศาลรัฐธรรมนูญ คำวินิจฉัยที่ 3/2562 ระหว่าง คณะกรรมการการเลือกตั้ง ผู้ร้อง พรรคไทยรักษาชาติ ผู้ถูกร้อง เรื่อง คณะกรรมการการเลือกตั้งขอให้ศาลรัฐธรรมนูญพิจารณาวินิจฉัยเพื่อมีคำสั่งยุบพรรคไทยรักษาชาติ
17076094,กฎกระทรวงกำหนดพิกัดอัตราภาษีสรรพสามิต (ฉบับที่ 5) พ.ศ. 2562
17076095,กฎกระทรวงยกเว้นค่าธรรมเนียมการใช้ยานยนตร์บนทางหลวงพิเศษหมายเลข 7 และทางหลวงพิเศษหมายเลข 9 ภายในระยะเวลาที่กำหนด พ.ศ. 2562
17076096,ประกาศคณะกรรมการตรวจเงินแผ่นดิน เรื่อง หลักเกณฑ์มาตรฐานเกี่ยวกับการตรวจเงินแผ่นดิน
17076097,ประกาศคณะกรรมการการเลือกตั้ง เรื่อง หลักเกณฑ์การดำเนินการที่เกี่ยวกับการเลือกตั้ง กรณีคณะกรรมการการเลือกตั้งสั่งให้มีการออกเสียงลงคะแนนใหม่หรือเลือกตั้งใหม่ พ.ศ. 2562
17076098,ประกาศคณะกรรมการการเลือกตั้ง เรื่อง หลักเกณฑ์และวิธีการนับคะแนนใหม่ในการเลือกตั้งสมาชิกสภาผู้แทนราษฎร ก่อนประกาศผลการเลือกตั้ง พ.ศ. 2562
17076138,พระราชกฤษฎีกากำหนดเขตที่ดินในบริเวณที่ที่จะเวนคืน ในท้องที่อำเภอเมืองนนทบุรี อำเภอปากเกร็ด จังหวัดนนทบุรี และเขตหลักสี่ เขตบางเขน เขตบึงกุ่ม เขตคันนายาว เขตมีนบุรี กรุงเทพมหานคร พ.ศ. 2562
17076139,พระราชกฤษฎีกากำหนดเขตที่ดินในบริเวณที่ที่จะดำเนินการเพื่อกิจการขนส่งมวลชน ในท้องที่อำเภอเมืองนนทบุรี อำเภอปากเกร็ด จังหวัดนนทบุรี และเขตหลักสี่ เขตบางเขน เขตบึงกุ่ม เขตคันนายาว เขตมีนบุรี กรุงเทพมหานคร พ.ศ. 2562
17076140,พระราชกฤษฎีกาจัดตั้งสถาบันสารสนเทศทรัพยากรน้ำ (องค์การมหาชน) พ.ศ. 2562
17076194,พระราชบัญญัติระเบียบข้าราชการพลเรือน (ฉบับที่ 3) พ.ศ. 2562
17076195,พระราชบัญญัติระเบียบข้าราชการพลเรือนในสถาบันอุดมศึกษา (ฉบับที่ 4) พ.ศ. 2562
17076196,พระราชบัญญัติระเบียบข้าราชการครูและบุคลากรทางการศึกษา (ฉบับที่ 4) พ.ศ. 2562
17076197,พระราชบัญญัติระเบียบข้าราชการรัฐสภา (ฉบับที่ 3) พ.ศ. 2562
17076198,พระราชบัญญัติตำรวจแห่งชาติ (ฉบับที่ 4) พ.ศ. 2562
17076199,พระราชบัญญัติคุ้มครองแรงงาน (ฉบับที่ 7) พ.ศ. 2562
17076200,พระราชบัญญัติพลังงานนิวเคลียร์เพื่อสันติ (ฉบับที่ 2) พ.ศ. 2562
17076201,พระราชบัญญัติสถาบันพระบรมราชชนก พ.ศ. 2562
17076202,พระราชกฤษฎีกาให้นำราคาปานกลางของที่ดินที่ใช้อยู่ในการประเมินภาษีบำรุงท้องที่ประจำปี พ.ศ. 2521 ถึง พ.ศ. 2524 มาใช้ในการประเมินภาษีบำรุงท้องที่สำหรับปี พ.ศ. 2562 พ.ศ. 2562
17076203,พระราชกฤษฎีกาออกตามความในประมวลรัษฎากร ว่าด้วยการยกเว้นรัษฎากร (ฉบับที่ 678) พ.ศ. 2562
17076204,พระราชกฤษฎีกาจัดตั้งองค์การบริหารการพัฒนาพื้นที่พิเศษเพื่อการท่องเที่ยวอย่างยั่งยืน (องค์การมหาชน) (ฉบับที่ 3) พ.ศ. 2562
17076205,พระราชกฤษฎีกากำหนดจังหวัดให้การรถไฟฟ้าขนส่งมวลชนแห่งประเทศไทยดำเนินกิจการรถไฟฟ้า พ.ศ. 2562
17076206,พระราชกฤษฎีกากำหนดเขตที่ดินในบริเวณที่ที่จะเวนคืน ในท้องที่ตำบลบ้านจั่น ตำบลหนองขอนกว้าง ตำบลหนองนาคำ ตำบลหนองบัว และตำบลหมากแข้ง อำเภอเมืองอุดรธานี จังหวัดอุดรธานี พ.ศ. 2562
17076207,พระราชกฤษฎีกากำหนดเขตที่ดินในบริเวณที่ที่จะเวนคืน ในท้องที่ตำบลโพธิ์ตาก ตำบลนาทราย ตำบลนาราชควาย ตำบลอาจสามารถ อำเภอเมืองนครพนม และตำบลรามราช ตำบลเวินพระบาท อำเภอท่าอุเทน จังหวัดนครพนม พ.ศ. 2562
17076208,พระราชกฤษฎีกาว่าด้วยปริญญาในสาขาวิชา อักษรย่อสำหรับสาขาวิชา ครุยวิทยฐานะ เข็มวิทยฐานะ และครุยประจำตำแหน่งของมหาวิทยาลัยราชภัฏพระนคร (ฉบับที่ 3) พ.ศ. 2562
17076209,พระราชกฤษฎีกากำหนดให้ผลิตภัณฑ์อุตสาหกรรมกระจกเทมเปอร์ต้องเป็นไปตามมาตรฐาน พ.ศ. 2562
17076210,พระราชกฤษฎีกากำหนดให้ผลิตภัณฑ์อุตสาหกรรมกระจกนิรภัยหลายชั้นต้องเป็นไปตามมาตรฐาน พ.ศ. 2562
17076631,กฎกระทรวงกำหนดบริเวณห้ามก่อสร้าง ดัดแปลง หรือเปลี่ยนการใช้อาคารบางชนิดหรือบางประเภท ในพื้นที่บางส่วนในท้องที่จังหวัดหนองคาย พ.ศ. 2562
17076632,ระเบียบคณะกรรมการตรวจเงินแผ่นดินว่าด้วยการพิจารณาวินิจฉัยความผิดวินัยการเงินการคลังของรัฐ พ.ศ. 2562
17076633,ระเบียบคณะกรรมการป้องกันและปราบปรามการทุจริตแห่งชาติ ว่าด้วยการคุ้มครองช่วยเหลือพยาน พ.ศ. 2562
17076634,ประกาศคณะกรรมการบริหารศาลยุติธรรม เรื่อง กำหนดสถานที่ตั้งของศาลแขวงบางบอน
17076635,ประกาศคณะกรรมการบริหารศาลยุติธรรม เรื่อง กำหนดสถานที่ตั้งของศาลแขวงเชียงราย
17076636,ประกาศ ก.ศป. เรื่อง การกำหนดหลักเกณฑ์การเป็นผู้ทรงคุณวุฒิที่จะได้รับแต่งตั้งเป็นตุลาการในศาลปกครองชั้นต้น (ฉบับที่ 4)
17076720,พระราชบัญญัติมาตรฐานทางจริยธรรม พ.ศ. 2562
17076721,พระราชบัญญัติการศึกษาพระปริยัติธรรม พ.ศ. 2562
17076722,พระราชบัญญัติข่าวกรองแห่งชาติ พ.ศ. 2562
17076723,พระราชบัญญัติแก้ไขเพิ่มเติมบทบัญญัติแห่งกฎหมายที่เกี่ยวกับอำนาจหน้าที่ของผู้ทำการแทน ผู้ปฏิบัติหน้าที่แทน ผู้รักษาการแทน หรือผู้รักษาการในตำแหน่งผู้บริหารของรัฐวิสาหกิจ พ.ศ. 2562
17076724,พระราชบัญญัติส่งเสริมวิสาหกิจชุมชน (ฉบับที่ 2) พ.ศ. 2562
17076725,พระราชบัญญัติองค์กรจัดสรรคลื่นความถี่และกำกับการประกอบกิจการวิทยุกระจายเสียง วิทยุโทรทัศน์ และกิจการโทรคมนาคม (ฉบับที่ 3) พ.ศ. 2562
17076726,พระราชบัญญัติแก้ไขเพิ่มเติมพระราชกำหนดบริษัทบริหารสินทรัพย์ พ.ศ. 2541 (ฉบับที่ 2) พ.ศ. 2562
17076727,พระราชบัญญัติธนาคารอาคารสงเคราะห์ (ฉบับที่ 4) พ.ศ. 2562
17076728,พระราชบัญญัติหลักทรัพย์และตลาดหลักทรัพย์ (ฉบับที่ 6) พ.ศ. 2562
17076729,พระราชบัญญัติภาษีเงินได้ปิโตรเลียม (ฉบับที่ 9) พ.ศ. 2562
17076730,พระราชบัญญัติแก้ไขเพิ่มเติมประมวลรัษฎากร (ฉบับที่ 51) พ.ศ. 2562
17076731,พระราชบัญญัติป่าไม้ (ฉบับที่ 8) พ.ศ. 2562
17076732,พระราชบัญญัติคุ้มครองประชาชนในการทำสัญญาขายฝากที่ดินเพื่อเกษตรกรรมหรือที่อยู่อาศัย พ.ศ. 2562
17076733,พระราชบัญญัติระเบียบบริหารราชการเมืองพัทยา (ฉบับที่ 3) พ.ศ. 2562
17076734,พระราชบัญญัติองค์การบริหารส่วนจังหวัด (ฉบับที่ 5) พ.ศ. 2562
17076735,พระราชบัญญัติระเบียบบริหารราชการกรุงเทพมหานคร (ฉบับที่ 6) พ.ศ. 2562
17076736,พระราชบัญญัติสภาตำบลและองค์การบริหารส่วนตำบล (ฉบับที่ 7) พ.ศ. 2562
17076737,พระราชบัญญัติเทศบาล (ฉบับที่ 14) พ.ศ. 2562
17076738,พระราชบัญญัติสถาบันบัณฑิตพัฒนบริหารศาสตร์ พ.ศ. 2562
17076739,พระราชบัญญัติสถานประกอบการเพื่อสุขภาพ (ฉบับที่ 2) พ.ศ. 2562
17076740,พระราชบัญญัติสุขภาพจิต (ฉบับที่ 2) พ.ศ. 2562
17076741,พระราชบัญญัติยา (ฉบับที่ 6) พ.ศ. 2562
17076742,พระราชบัญญัติการนิคมอุตสาหกรรมแห่งประเทศไทย (ฉบับที่ 5) พ.ศ. 2562
17076743,พระราชบัญญัติมาตรฐานผลิตภัณฑ์อุตสาหกรรม (ฉบับที่ 8) พ.ศ. 2562
17076744,พระราชบัญญัติเจ้าพนักงานตำรวจศาล พ.ศ. 2562
17076745,พระราชบัญญัติการเลือกตั้งสมาชิกสภาท้องถิ่นหรือผู้บริหารท้องถิ่น พ.ศ. 2562
17076746,พระราชกฤษฎีกากำหนดเขตพื้นที่เพื่อการอนุญาตให้ตั้งสถานบริการในท้องที่จังหวัดตราด (ฉบับที่ 2) พ.ศ. 2562
17076747,พระราชกฤษฎีกากำหนดเขตพื้นที่เพื่อการอนุญาตให้ตั้งสถานบริการในท้องที่จังหวัดเชียงราย (ฉบับที่ 2) พ.ศ. 2562
17076748,พระราชกฤษฎีกาว่าด้วยปริญญาในสาขาวิชา อักษรย่อสำหรับสาขาวิชาครุยวิทยฐานะ เข็มวิทยฐานะ และครุยประจำตำแหน่งของสถาบันการพลศึกษา (ฉบับที่ 2) พ.ศ. 2562
17076749,พระราชกำหนดแก้ไขเพิ่มเติมพระราชบัญญัติป้องกันและปราบปรามการค้ามนุษย์ พ.ศ. 2551 พ.ศ. 2562
17076750,พระราชบัญญัติแก้ไขเพิ่มเติมประมวลรัษฎากร (ฉบับที่ 50) พ.ศ. 2562
17076751,พระราชกฤษฎีกาจัดตั้งสำนักงานพัฒนาการวิจัยการเกษตร (องค์การมหาชน) (ฉบับที่ 2) พ.ศ. 2562
17076752,พระราชกฤษฎีกากำหนดให้ผลิตภัณฑ์อุตสาหกรรมกระจกโฟลตใสต้องเป็นไปตามมาตรฐาน พ.ศ. 2562
17076753,พระราชกฤษฎีกากำหนดให้ผลิตภัณฑ์อุตสาหกรรมกระจกโฟลตสีตัดแสงต้องเป็นไปตามมาตรฐาน พ.ศ. 2562
17077147,ประกาศสำนักนายกรัฐมนตรี เรื่อง การประกาศแผนแม่บทภายใต้ยุทธศาสตร์ชาติ (พ.ศ. 2561 - 2580)
17077148,กฎกระทรวงให้ใช้บังคับผังเมืองรวมชุมชนสันกำแพง จังหวัดเชียงใหม่ พ.ศ. 2562
17077149,ระเบียบคณะกรรมการการเลือกตั้งว่าด้วยการดำเนินการศึกษาอบรมหลักสูตรการพัฒนาการเมืองและการเลือกตั้งระดับสูง พ.ศ. 2562
17077150,ประกาศคณะกรรมการบริหารศาลยุติธรรม เรื่อง การแบ่งส่วนราชการภายในและกำหนดอำนาจหน้าที่ของส่วนราชการ ในสังกัดสำนักงานศาลยุติธรรม (ฉบับที่ 7) พ.ศ. 2562
17077413,ประกาศคณะกรรมการการเลือกตั้ง เรื่อง การสิ้นสภาพความเป็นพรรคการเมืองของพรรคการเมืองที่จัดตั้งหรือเป็นพรรคการเมือง ตามพระราชบัญญัติประกอบรัฐธรรมนูญว่าด้วยพรรคการเมือง พ.ศ. 2550
17077414,คำพิพากษาของศาลฎีกาแผนกคดีอาญาของผู้ดำรงตำแหน่งทางการเมือง เรื่อง การแสดงบัญชีรายการทรัพย์สินและหนี้สิน [คดีหมายเลขดำที่ อม. 259/2561 คดีหมายเลขแดงที่ อม. 229/2561 ระหว่าง คณะกรรมการป้องกันและปราบปรามการทุจริตแห่งชาติ ผู้ร้อง นายชุมพล ปันอิ่น ผู้ถูกกล่าวหา]
17077415,คำพิพากษาของศาลฎีกาแผนกคดีอาญาของผู้ดำรงตำแหน่งทางการเมือง เรื่อง การแสดงบัญชีรายการทรัพย์สินและหนี้สิน [คดีหมายเลขดำที่ อม. 295/2561 คดีหมายเลขแดงที่ อม. 1/2562 ระหว่าง คณะกรรมการป้องกันและปราบปรามการทุจริตแห่งชาติ ผู้ร้อง นางวิชุตา อาแว ผู้ถูกกล่าวหา]
17077416,คำพิพากษาของศาลฎีกาแผนกคดีอาญาของผู้ดำรงตำแหน่งทางการเมือง เรื่อง การแสดงบัญชีรายการทรัพย์สินและหนี้สิน [คดีหมายเลขดำที่ อม. 278/2560 คดีหมายเลขแดงที่ อม. 2/2562 ระหว่าง คณะกรรมการป้องกันและปราบปรามการทุจริตแห่งชาติ ผู้ร้อง นายจารึก แก้วอำรัตน์ ผู้ถูกกล่าวหา]
17077417,คำพิพากษาของศาลฎีกาแผนกคดีอาญาของผู้ดำรงตำแหน่งทางการเมือง เรื่อง การแสดงบัญชีรายการทรัพย์สินและหนี้สิน [คดีหมายเลขดำที่ อม. 121/2561 คดีหมายเลขแดงที่ อม. 3/2562 ระหว่าง คณะกรรมการป้องกันและปราบปรามการทุจริตแห่งชาติ ผู้ร้อง นายสมหวัง เสรีพันธ์พานิช ผู้ถูกกล่าวหา]
17077418,คำพิพากษาของศาลฎีกาแผนกคดีอาญาของผู้ดำรงตำแหน่งทางการเมือง เรื่อง การแสดงบัญชีรายการทรัพย์สินและหนี้สิน [คดีหมายเลขดำที่ อม. 93/2561 คดีหมายเลขแดงที่ อม. 4/2562 ระหว่าง คณะกรรมการป้องกันและปราบปรามการทุจริตแห่งชาติ ผู้ร้อง นางประจวบพร แสงสว่าง ผู้ถูกกล่าวหา]
17077441,พระราชกฤษฎีกาเหรียญเฉลิมพระเกียรติ ในโอกาสพระราชพิธีบรมราชาภิเษก 4 พฤษภาคม 2562 พ.ศ. 2562
17077442,กฎกระทรวงกำหนดลักษณะของเหรียญกษาปณ์ที่ระลึกเฉลิมพระเกียรติ ในโอกาสพระราชพิธีบรมราชาภิเษก 4 พฤษภาคม 2562 พ.ศ. 2562
17077882,ระเบียบกระทรวงพาณิชย์ ว่าด้วยหลักเกณฑ์ วิธีการ และเงื่อนไข ในการอนุญาตให้ส่งช้างออกไปนอกราชอาณาจักร พ.ศ. 2562
17077883,ระเบียบคณะกรรมการบริหารสถาบันวัคซีนแห่งชาติ ว่าด้วยการจัดแบ่งส่วนงาน และขอบเขตหน้าที่และอำนาจของส่วนงานของสถาบันวัคซีนแห่งชาติ พ.ศ. 2562
17077884,ระเบียบคณะกรรมการส่งเสริมและพัฒนาคุณภาพชีวิตคนพิการแห่งชาติ ว่าด้วยการพิจารณาอนุมัติการจ่ายเงินเพื่อการส่งเสริมและพัฒนาคุณภาพชีวิตคนพิการ และการจัดทํารายงานสถานะการเงินและการบริหารกองทุนส่งเสริมและพัฒนาคุณภาพชีวิตคนพิการ (ฉบับที่ 4) พ.ศ. 2562
17077885,ระเบียบคณะกรรมการกองทุนฟื้นฟูและพัฒนาเกษตรกร ว่าด้วยการพิจารณาแผนและโครงการการจ่ายเงิน การใช้คืนเงินกองทุน และการติดตามประเมินผลการดำเนินงานตามแผนและโครงการฟื้นฟูและพัฒนาเกษตรกร (ฉบับที่ 2) พ.ศ. 2547
17077886,ระเบียบคณะกรรมการกองทุนฟื้นฟูและพัฒนาเกษตรกรเฉพาะกิจ ว่าด้วยการพิจารณาแผนและโครงการฟื้นฟูและพัฒนาเกษตรกรขององค์กรเกษตรกร การติดตามและประเมินผลการดำเนินการ การเบิกจ่ายเงิน และการใช้คืนเงินให้แก่กองทุนฟื้นฟูและพัฒนาเกษตรกร พ.ศ. 2562
17078359,กฎกระทรวงให้ใช้บังคับผังเมืองรวมชุมชนเกาะเต่า จังหวัดสุราษฎร์ธานี พ.ศ. 2562
17078360,กฎกระทรวงให้ใช้บังคับผังเมืองรวมชุมชนทับสะแก จังหวัดประจวบคีรีขันธ์ (ฉบับที่ 2) พ.ศ. 2562
17078361,กฎกระทรวงแบ่งส่วนราชการสำนักงานปลัดกระทรวง กระทรวงยุติธรรม (ฉบับที่ 2) พ.ศ. 2562
